26|Ministry of Railways|Mobile (Quadruped)/Handheld Device for Real-Time Detection of Narcotics and Explosives|Hardware
27|Ministry of Railways|AI-Powered Automatic Block Planning to Maximize Asset Availability for Train Operations|Software
28|Ministry of Railways|Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains|Software
29|Consumer Affairs, Food & PD|Automated High-Current Short-Circuit Test System for IEC 60898-1:2015 MCB Compliance|Hardware
30|Consumer Affairs, Food & PD|Automated Cable Specimen Preparation System for IS 10810 and IS 7098 Compliance|Hardware
31|Consumer Affairs, Food & PD|Objective Quality Assessment and Grading of Onions Across Procurement Centres|Software
32|Consumer Affairs, Food & PD|Farmer Waiting Times, Procurement Schedule Information and Procurement Status Transparency|Software
33|Consumer Affairs, Food & PD|Reducing Intermediaries That Cut Farmer Earnings and Raise Consumer Prices|Software
34|Consumer Affairs, Food & PD|Compliance Check of Packaged Commodities Under Legal Metrology Rules 2011 by Scanning Labels|Software
35|Consumer Affairs, Food & PD|Generation of Test Reports for Non-Automatic Weighing Instruments (NAWI) per OIML R-76|Software
36|Consumer Affairs, Food & PD|Online Verification System for Weighing and Measuring Instruments|Software
37|MathWorks|Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads|Software
38|MathWorks|Explainable AI for Diabetic Retinopathy Screening in Rural India|Software
39|Government of Jharkhand|AI-Powered Underground Mine Safety, Monitoring and Rescue System|Hardware
40|Government of Jharkhand|Smart Water Purification and Quality Monitoring System for Rural and Mining-Affected Areas|Hardware
41|Government of Jharkhand|AR-Based Vocational Training Simulator for Industrial Safety in Mining & Manufacturing|Software
42|Government of Jharkhand|AI-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother-Tongue Primary Education|Software
43|Government of Jharkhand|Digital Platform to Crowdsource Societal Challenges via University-Industry Partnerships|Software
44|Ministry of Ayush|Portal for Academia-Industry Collaboration for Skill Mapping, Internships and Placement|Software
45|Ministry of Ayush|IP-SAKTI Sahayak: Multilingual RAG-Based AI Assistant for IP and Regulatory Guidance in Ayurveda|Software
46|Ministry of Ayush|AIIA Clinical Trials Dashboard: GCP-Compliant CTMS with CDISC/FHIR Interoperability|Software
47|Ministry of Ayush|Patient Case-Taking Software|Software
48|Ministry of Ayush|iKwath: Pod-Based Smart Kwatha (Kadha) Maker|Hardware
49|DRDO|Reliability of Electrical and Electronic Equipment in Sub-Zero, Low-Pressure High Altitude Areas|Hardware
50|DRDO|High Altitude Performance Optimization and Robust Design of Anti-Drone System|Hardware
51|DRDO|Software Based Model for Design of Area-Specific Shelter for Thermal Comfort Maintenance|Software
52|DRDO|AI/ML-Enabled Adaptive Noise Cancellation for Defence Noise on Embedded Hardware|Hardware
53|DRDO|Adaptive Variable Resolution 2.5D Lidar Mapping for Dynamic Environment Perception|Software
54|DRDO|AI-Enabled Real-Time Digital Twin for Health Monitoring of Aero Piston Engines in MALE UAVs|Software
55|DRDO|Smart Scan Strategy for Electronic Warfare|Software
56|MoSPI|Real-Time Airfare Price Index via Automated Web Scraping of Airline and OTA Portals for CPI|Software
57|Ministry of Earth Sciences|AI-Powered Automated Underwater Marine Debris and Anomaly Detection Using Side-Scan Sonar|Software
58|Ministry of Earth Sciences|Low-Power Real-Time Adaptive Software-Defined Sonar Transmitter Payload for AUVs|Hardware
59|Ministry of Earth Sciences|AI-Enabled Antarctic Sea-Ice, Iceberg Trajectory and Navigation Decision Support System|Software
60|Ministry of Earth Sciences|Digital Platform for Remote Management of Indian Antarctic Research Stations|Software
61|Ministry of Earth Sciences|AI-Driven Smart Energy Management System for Polar Research Stations|Software
62|Ministry of Earth Sciences|Integrated Polar Expedition Logistics and Asset Management System|Software
63|Ministry of Earth Sciences|Integrated Polar Science Outreach, Knowledge Repository and Media Dissemination Portal|Software
64|Ministry of Earth Sciences|Low-Cost Deployable Seafloor Metal Detection Sensor for Ocean Resource Exploration|Hardware
65|Ministry of Earth Sciences|Autonomous Low-Cost Ocean Observation Platform for Polar and Southern Oceans|Hardware
66|Ministry of Earth Sciences|OceanEmbed: Satellite Embedding-Based Deep Learning for Subsurface Ocean Temperature Reconstruction|Software
67|Ministry of Earth Sciences|Web-Based Interactive 3D Visualization Platform for Ocean Model Outputs and In-Situ Observations|Software
68|Ministry of Earth Sciences|WeatherGPT: Conversational AI for Weather Forecasting, Alerts and Climate Information|Software
69|Ministry of Earth Sciences|National Weather Big Data Analytics Platform|Software
70|Ministry of Earth Sciences|AI/ML System for Identification, Classification and Prediction of Tropical Cyclone Patterns|Software
71|Ministry of Earth Sciences|AI/ML-Based Integrated Heavy Rainfall Early Warning and Inundation Prediction System|Software
72|Ministry of Earth Sciences|AI/ML-Based Nowcasting of Thunderstorm and Lightning Using Radar, Satellite and Model Data|Software
73|Ministry of Earth Sciences|AI/ML-Based Intelligent Anomaly Detection for Automatic Weather Stations (AWS)|Software
74|Ministry of Earth Sciences|Downscaling of Weather Forecast from Block Level to Panchayat Level|Software
75|Ministry of Earth Sciences|CAPACITY CONNECT: Digital Capacity Building and Learning Management Portal|Software
76|Ministry of Earth Sciences|Personalized Homepage for the 'Mausam' Mobile Application|Software
77|Ministry of Earth Sciences|AI-Driven Hyper-Local Early Warning System for Severe Weather Nowcasting|Software
78|Ministry of Earth Sciences|AI-Driven Spatio-Temporal Tracking of Extreme Weather Anomalies in Medium-Range Forecasts|Software
79|Ministry of Earth Sciences|AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts|Software
80|Ministry of Earth Sciences|Regime-Aware AI Post-Processing of Monsoon Rainfall Forecasts|Software
81|Ministry of Earth Sciences|Hybrid AI-NWP Multi-Model Forecast Blending System|Software
82|Ministry of Earth Sciences|Air Pollution-Weather Coupled Forecasting System (Delhi NCR Focus)|Software
83|Ministry of Earth Sciences|Extreme Heatwave Early Warning and Human Thermal Stress Index|Software
84|Ministry of Earth Sciences|Convective-Scale Nowcasting for Thunderstorms, Hail and Cloudbursts (6 hr)|Software
85|Ministry of Earth Sciences|Urban Flood Nowcasting System (Drainage and Rainfall Coupling)|Software
86|Ministry of Earth Sciences|Hyperlocal Monsoon Onset and Break Prediction System (Block/Village Scale)|Software
87|Ministry of Cooperation|AI-Enabled Cooperative Capacity Building, ERP & Employment Ecosystem|Hardware
88|Ministry of Cooperation|Multilingual Cooperative Governance & Legal Assistance Chatbot|Hardware
89|Ministry of Cooperation|Cooperative Gig Services Platform for Household & Community Services|Software
90|Social Justice & Empowerment|AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans|Software
91|Social Justice & Empowerment|AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs|Software
92|Social Justice & Empowerment|AI-Driven Scheme Matching for Marginalized Entrepreneurs|Software
93|Social Justice & Empowerment|AI-Based Real-Time Stress and Trauma Assessment Module for NHAA (14566) Callers|Software
94|Social Justice & Empowerment|AI-Powered Dynamic Mental Health Monitoring and Distress Prediction for Victims of Atrocities|Software
95|Social Justice & Empowerment|Smart Real-Time Monitoring & Inspection Mobile App|Software
96|Social Justice & Empowerment|Digital Heritage Archive for Memorials, Manuscripts & Ambedkar: AI-Powered Institutional Archive|Hardware
97|Social Justice & Empowerment|AI-Driven Voice Assistant for Livelihood Mapping and NSQF-Aligned Skilling under PM-AJAY|Software
98|Ministry of Defence|Low-Cost Precision Guidance and Smart Electronic Fuze System for a 155 mm Artillery Shell|Hardware
99|Petroleum & Natural Gas|AI-Driven Standardization and Harmonization of Material Codes Across CPSEs|Software
100|Petroleum & Natural Gas|AI-Powered Integrated Bid Compliance Verification Platform for GeM Procurement|Software
101|MoSPI|AI-Enabled Learning Platform with iGOT Karmayogi Integration and Automated Quiz/MCQ Generation|Software
102|MoSPI|AI-Powered System to Detect Anomalies, Fraud and Inefficiencies in MPLAD Scheme Implementation|Software
103|MoSPI|Web-Based Integrated Project-Monitoring Platform|Software
104|AICTE|AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks|Software
105|AICTE|AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform|Software
106|AICTE|AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform|Software
107|Consumer Affairs, Food & PD|AI-Powered Intelligent Assistant for Indian Standards and BIS Services|Software
108|Consumer Affairs, Food & PD|AI-Powered Recommendation Engine for Identifying Applicable Indian Standards for Procurement Specs|Software
109|Fisheries, Animal Husbandry & Dairying|AI-Based Predictive Modelling for Early Forecasting of Bovine Mastitis in Indian Dairy Farms|Hardware
110|Fisheries, Animal Husbandry & Dairying|Low-Cost Lightweight Milk Chilling Can for Small-Scale Dairy Farmers|Hardware
111|Fisheries, Animal Husbandry & Dairying|Smart AI-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers|Software
112|Autodesk|Modular Autonomous Mobile Robot (AMR) Platform for Smart Warehouse Automation|Hardware
113|Autodesk|Human Augmentation Technologies for Healthcare, Rehabilitation and Personal Mobility|Hardware
114|Autodesk|Smart City Site Planning Using Autodesk Forma Site Design|Software
115|Autodesk|Smart Mobile Medical-Waste Collection and Segregation System|Software
116|Autodesk|Urban Mixed-Use Design Challenge in Autodesk Revit (B+G+9)|Software
117|MRPL|Sovereign On-Premise Agentic AI Workbench Using Open-Weight Multimodal LLMs for Confidential Work|Software
118|MRPL|Passive Colorimetric H2S Exposure-Dosimeter Wristband with AI-Based Quantitative Reading|Hardware
119|MRPL|Indigenous GPU-Accelerated Optimization Solver (Sovereign Alternative to Xpress/CPLEX)|Software
120|Oil India Limited|Digital Twin for Well-to-Surface Optimization of CSS and SRP Operations for Heavy Oil Wells|Software
121|Oil India Limited|eRTMAC-NWIS: AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling|Software
122|Oil India Limited|Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management|Software
123|Bharat Electronics Limited|Edge-AI Based Distributed Fleet Coordination for Autonomous Mobile Robots in Smart Warehouses|Software
124|Bharat Electronics Limited|AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet|Software
125|Bharat Electronics Limited|Blockchain-Based Secure Platform for Identity, Access Control and Digital Asset Management|Software
126|Bharat Electronics Limited|Vision-Based Autonomous Navigation for Unmanned Ground Vehicle in Outdoor Environment|Software
127|Bharat Electronics Limited|City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics|Software
128|Government of Maharashtra|Early Detection, Prevention and Management of Livestock Diseases and Animal Health Issues|Software
129|Government of Maharashtra|System Integration and Interoperability Among Government Digital Platforms|Software
130|Government of Maharashtra|Streamlining Industrial Approvals, Compliance Processes and Access to Government Support|Software
131|Government of Maharashtra|Early Detection and Management of Crop Diseases and Pest Infestations|Software
132|Government of Maharashtra|Strengthening Market Linkages and Price Discovery for Farmers|Software
133|Government of Maharashtra|Accessibility and Quality of Public Healthcare in Rural and Underserved Areas|Software
134|Government of Maharashtra|Aligning Skill Development Programs with Industry Requirements and Job Market Demands|Software
135|Government of Maharashtra|Tracking Employment Outcomes, Skill Gaps and Impact of Skilling Initiatives|Software
136|Government of Maharashtra|Startup-Friendly Public Procurement Mechanism for Government Departments|Software
137|Egreen Quanta|Quantum-Inspired Intelligent Traffic Route Optimization Using Metaheuristic Optimization|Software
138|Egreen Quanta|Quantum-Inspired Fuel Consumption Prediction and Green Fleet Optimization|Software
139|Egreen Quanta|Hybrid Quantum Machine Learning Platform for Early Disease Detection|Software
140|Egreen Quanta|AI-Based Interactive Quantum Algorithm Learning Platform|Software
141|Egreen Quanta|Quantum-Inspired Cyber Threat Detection for Digital Signature Security|Software
142|NTRO|Deep Learning Based Super Resolution Mapping from Medium Resolution Satellite Imagery|Software
143|NTRO|Satellite Imagery for Oil Spill Detection with AIS Correlation to Identify Responsible Vessel|Software
144|NTRO|High-Sensitivity Micro-Barometer Infrasound Sensor|Hardware
145|NTRO|AI-Based Detection of Cyber Threats in Unidirectional IP Traffic|Software
146|NTRO|AI-Powered Monitoring and Analysis of Bitcoin Transaction Traffic|Software
147|NTRO|Automated Analysis of .IQ and .wav Files with Signal Parameter Extraction|Software
148|NTRO|Scripts/Functions in a New Programming Language for Computer and Network Forensic Analysis|Software
149|NTRO|Integrated Secure Data Erasure and Advanced File Recovery Tool for Digital Forensics|Software
150|NTRO|Multi-Vendor DVR/NVR Forensic Analysis Tool for Surveillance Evidence|Software
151|NTRO|Dark Web Threat Actor De-Anonymization|Software
152|NTRO|Social Media Analytics|Software
153|NTRO|AI-Based Network Attack Forecasting from Network Traffic Data|Software
154|NTRO|Gen AI Platform for Automated Content Transformation|Software
155|NTRO|AI-Driven Multi-Vendor Network Security Compliance Auditor|Software
156|NTRO|Universal Log Pre-Processing Framework|Software
157|NTRO|Supervisory Analytics Tool for SOC Assessment (SAT-SA)|Software
158|NTRO|Single-Pass Drone Video to Accurate 3D Model Generation System|Software
159|NTRO|SecureMailScope: AI-Assisted Cryptographic Security Posture Assessment for Email|Software
160|NTRO|AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework|Software
161|NTRO|Dam Break Inundation Modelling Using Hydrodynamic Modelling of a River|Software
162|NTRO|AI-Based Detection of Industrial Fires and Persistent Thermal Sources Using NASA FIRMS and OSM|Software
163|NTRO|Security Assessment of the World Monitor Application|Software
164|NTRO|Enterprise Cryptographic Discovery & Analysis Tool (ECDAT)|Software
165|Oil India Limited|AI/NLP Engine to Detect Serious Injury & Fatality Precursors in Near-Miss Reports|Software
166|ISRO|Multi-Modal, Sun-Angle and Scale-Invariant Image Correspondence Using Chandrayaan-2 Optical Images|Software
167|ISRO|SatQuery AI: Interactive Vision-Language Assistant for Multimodal Remote Sensing via Text Queries|Software
168|ISRO|AI/ML-Based Intelligent Dead Reckoning System for Seamless Navigation|Software
169|ISRO|AI-Based Virtual Camera Tracking System for Coarse Alignment of Mobile FSOC Terminals|Software
170|ISRO|AI-Driven Anomaly Detection in Component Burn-In and Screening|Software
171|ISRO|On-Device Visual Perception for Light-Weight Browser Agents|Software
172|ISRO|Low Latency and Efficient Voice Activator for Edge Devices|Hardware
173|ISRO|iTantra: Indian Multilingual TTS and STT Aided Neural Transceiver for Low Bitrate Links|Software
174|ISRO|AI Human Activity Recognition for On-Board BAS Experiments|Software
175|ISRO|DepthWizard: Single-View Height Estimation and 3D Flythrough|Software
176|ISRO|ORCA: Marine Ecosystem Reasoning with Collaborative Agents|Software
177|Qualcomm|AI-Powered Autonomous Drone for Search-and-Rescue Operations|Hardware
178|Qualcomm|Resilient AI-Powered Environmental Monitoring Network for Floods, Fires and Pollution|Hardware
179|Qualcomm|AI-Powered Retail Intelligence Platform with On-Device Shopper Analytics|Hardware
180|Qualcomm|Field-Deployable AI-Powered Smart Farming Assistant|Hardware
181|Qualcomm|Secure AI-Powered Personal Health Companion with On-Device Intelligence|Hardware
182|Ministry of Home Affairs|Automated Attribution of Unknown Cryptocurrency Wallets to Nearest VASPs via Blockchain Intelligence|Software
183|Ministry of Home Affairs|Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Wallets|Software
184|Ministry of Home Affairs|Predictive Analytics Framework to Forecast Likely Cash Withdrawal Locations in Cybercrime Cases|Software
185|Ministry of Home Affairs|Helmet-Mounted Conformal Antenna for Tactical Communications in Urban CQB Environments|Hardware
186|Ministry of Home Affairs|AI-Based Predictive Personnel Stress and Welfare Monitoring System for Uniformed Forces|Software
187|Ministry of Home Affairs|AI-Based Intelligent Video Analytics Platform for Border Surveillance Using Existing CCTV|Software
188|Ministry of Home Affairs|AI-Based Fake Identity and Document Screening System|Software
189|Ministry of Home Affairs|AI-Powered Criminal Network Analysis System|Software
190|Ministry of Home Affairs|Secure Digital Document Management System for Legal and Investigation Documents|Software
191|Ministry of Home Affairs|Intelligent Identification of Hazard-Based Red Zones and Carrying Capacity Assessment|Software
192|Ministry of Home Affairs|Flash Flood Prediction System for Hilly Regions Using Multi-Source Data|Software
